"","process","gene_ratio","bg_ratio","pvalue","p_adjust","qvalue","gene_id","count","condition","ora_enrichment","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","color","color_covid_other","log_q"
"1","GENERAL","98/125","538/884",6.03896022306051e-06,0.00011474024423815,9.53520035220081e-05,"IL23R/ADM/APOBEC3A/BCL3/BCL6/BST1/CCR1/CCR2/CD14/CLEC4G/CLEC6A/CTSS/DDX60/FCAR/FCER1G/FCGR1A/FCGR2A/FCGR2C/GBP1/GBP2/HCK/HP/IDO1/IFI30/IFI35/IFI6/IFIT1/IFIT2/IFITM3/IGSF6/IL15/IL1RN/IL27/IL31RA/IRF1/LILRA3/LILRA5/LILRA6/LILRB1/LILRB2/LILRB4/LTBR/LYZ/MX1/OAS2/PARP9/PKHD1L1/PSMB9/RGS1/S100A12/SRC/TAP1/TLR4/TNFSF10/IL1R1/IL1R2/AZU1/CX3CR1/CXCL6/CXCL8/NRROS/SPNS2/CD40/CD7/CFB/IFITM1/NLRC5/RNF213/TAP2/ADARB1/APOBEC3F/CCL2/CD1E/CLU/FCGR2B/JAK3/PML/BPI/BST2/BTLA/CIITA/RIGI/EIF2AK2/ERAP2/GBP6/GPR65/GSDMD/IRF9/CGAS/MDK/PDE4B/PSMB10/PSMB8/SERPINB9/TRIM22/ZC3HAV1/CSF1/IRF8",98,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",4.02067017719154
"2","ANTIVIRAL & IFN","23/125","101/884",0.00866156342595912,0.0822848525466117,0.068380763889151,"AIF1/CASP1/FCAR/GBP1/GBP2/HCK/IFIT1/IFIT2/IFITM3/IFNGR2/IRF1/MX1/OAS2/STAT1/STAT2/TLR4/IFITM1/CCL2/IL12RB1/RIGI/EIF2AK2/GBP6/IRF8",23,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",1.16506605196016
"3","ARPP","27/125","131/884",0.0179497152319346,0.113681529802252,0.0944721854312345,"BATF2/SCIMP/CASP1/CCR1/CCR2/CD14/CLEC6A/CTSS/HCK/IFI35/LTBR/S100A12/SRC/TLR4/MAP2K6/AZU1/CRTC3/FLT1/CD40/CCL2/RIGI/LIPA/CGAS/PIK3AP1/TMEM229B/CSF1/IRF8",27,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",1.02469603796498
"4","MACROPHAGE","9/125","35/884",0.0468423591295273,0.222501205865254,0.184904049195502,"CCR2/IFI35/TLR4/AZU1/CRTC3/CCL2/LIPA/TMEM229B/CSF1",9,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",0.733053578164745
"5","B CELL","14/31","155/884",0.000255541211038646,0.00204432968830917,0.0016139444907704,"BANK1/CD19/CD22/CD79A/CD79B/CXCR5/MS4A1/CD38/HDAC4/CD40/CD86/TLR4/RASGRP1/ZAP70",14,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",2.79211140627236
"6","IMMUNOGLOBULIN MEDIATED RESPONSE","14/31","155/884",0.000255541211038646,0.00204432968830917,0.0016139444907704,"BANK1/CD19/CD22/CD79A/CD79B/CXCR5/MS4A1/CD38/HDAC4/CD40/CD86/TLR4/RASGRP1/ZAP70",14,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",2.79211140627236
"7","HUMORAL ADAPTIVE IMMUNE SYSTEM","16/31","255/884",0.00552291511549892,0.0294555472826609,0.0232543794336797,"BANK1/CD19/CD22/CD79A/CD79B/CXCR5/MS4A1/CD28/CD38/HDAC4/CD40/CD86/TLR4/CXCL9/RASGRP1/ZAP70",16,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",1.63349524557945
"8","GENERAL","24/31","538/884",0.0380601101201034,0.152240440480414,0.120189821431906,"CD19/CD79A/CD79B/CFH/CNR2/CXCR5/MS4A1/IDO1/CD28/MCOLN2/CD40/CD86/IRF1/IRF2/IRF9/TAP1/TLR4/CD247/CD3G/CD8B/CXCL9/PRF1/PRKCQ/ZAP70",24,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",0.920132310063163
"9","T CELL","12/31","228/884",0.0752889453327945,0.240924625064942,0.19020365136706,"IDO1/CD28/CD86/IRF1/CD247/CD3G/CD8B/PLCG1/PRF1/PRKCQ/RASGRP1/ZAP70",12,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"#76c893","#343a40",0.720781150104471
"10","GENERAL","33/38","538/884",0.000354136452246125,0.00441532801003381,0.00406674948292588,"AZU1/PRSS3/SFTPD/KIR2DL1/PIK3R1/CNR2/CXCR5/IL1R2/CCR1/CX3CR1/RIGI/DDX60/EIF2AK2/FCGR3A/GBP1/IFI27/IFI6/IFIT1/IFIT2/IFITM1/IFITM3/IGSF6/IL1RN/IRF9/LGALS9/MX1/MX2/OAS2/PARP9/PML/TAP1/TNFSF10/TRIM22",33,"HIV-1 GAG-POL NEF (D3)","ImmuneGO","HIV","OTHER","VIRUS","HIV","V","VV","HO",3,3,1,1,1,0,"#5e60ce","#343a40",2.39075257987815
