Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p),padj
"BBIBP (V3, D14)","BBIBP (V3, D28)",0.334,97,106,87,203,184,"A2M, ADM, AIMP1, ANXA1, ARL4C, ASGR2, B4GALT1, BCL3, BCL6, BRD2, C4B, CCL20, CCL3, CD69, CD83, CHRNB2, CNIH1, CRTC3, CSF1, CTNNB1, CXCL2, CXCL8, DACH1, DCAF12, DHX9, EMP1, EPB42, EREG, F2RL3, FCRL5, FUT4, G0S2, GATA3, GPR82, GPR84, GXYLT2, HLA-DMA, HPRT1, ICAM1, IDO2, IFIH1, IFNG, IL1A, IL1B, IL1RN, IL23A, IRF1, IRF2BP2, JMJD6, JUN, KCNE4, KCNMB3, KIF5B, KLF4, LAPTM5, MAP3K8, MARCKS, MPP1, MS4A2, NFKB2, NFKBIA, NINJ1, NLRP3, ORM1, PBX1, PDE4B, PDGFC, PLEK, PPP2CA, PSD3, PSMA1, PSME1, PTGER2, PTGER4, PTX3, RAB11FIP2, RAP1GAP, RELA, RGS1, RHOH, RIPK2, RNF19B, RPL39, RPS6, SGK1, SLC24A1, SNCA, TGFA, TICAM1, TNFAIP3, TRIB1, TRIM58, TSPAN5, VAMP2, VIM, WFDC11, WNT4",47.78,52.72,2.94960455207009e-22,21.53023620516279,5.8195697812342875e-19
"BBIBP (V3, D14)","BNT (V2, D1)",0.059,23,180,189,203,212,"A2M, ARL4C, CXCL8, EPB42, EPS8, EREG, GYPE, GZMB, IDO2, IRF1, IRF2BP2, JUN, MS4A3, NLRP3, NRXN3, PDE4B, RIPK2, SGK1, TGFA, TMEM71, TNFAIP6, VEGFA, VIM",11.33,10.85,1.1378830105494214e-86,85.94390238687294,3.846044575657044e-83
"BBIBP (V3, D14)","BNT-I (D10, hospital)",0.087,89,114,821,203,910,"A2M, ABHD12, ADM, ANXA1, ARL4C, ASGR2, B4GALT1, BCL2A1, BCL3, BCL6, BIRC2, CCDC150, CD164, CD46, CD58, CLEC4A, CLNK, CRTC3, CSF1, CSRP2, DACH1, EPS8, EREG, ESCO2, F2, FFAR2, FLT1, FUT4, GATA3, GLP2R, GPR183, GPR82, GPR84, HHLA2, HMGB2, ICOS, IFIH1, IL1B, IL1RN, ITGB8, ITM2A, JMJD6, JUN, KCNMB3, KCNN3, KIF5B, KLF4, LAPTM5, LGALS3, LYZ, MAP3K8, MARCKS, MPP1, MS4A2, MS4A3, NAV1, NCF4, NCK1, NFKBIA, NRBP1, ORM1, PLCG2, PPP2CA, PSD3, PSME1, PTGER2, PTGER4, RAP1GAP, RHOH, RIPK2, RNF19B, RPS6, SFXN3, SLC24A1, SLCO2B1, SOD1, SSC5D, SVIL, TFF3, TGFA, TMEM71, TNFAIP3, TNFAIP6, TRIB1, TSHR, TSPAN5, VAMP2, VEGFA, VIM",43.84,9.78,1.8184288779117422e-95,94.74030368033074,6.371774788202744e-92
"BBIBP (V3, D14)","BNT-I (D26, hospital)",0.082,61,142,545,203,606,"A2M, ADM, ANXA1, ASGR2, BCL2A1, BCL3, BCL6, CCDC150, CD46, CD58, CLEC4A, CLNK, CSRP2, CTNNB1, EMP2, EPS8, EREG, FRK, FUT4, G0S2, GLP2R, GPR84, HMGB2, ICAM1, IL1A, IL1RN, IRF1, IRF2BP2, ITM2A, JMJD6, JUN, KLF4, LAPTM5, LGALS3, MAP3K8, MARCKS, MPP1, MS4A3, NAV1, NFKBIA, NRBP1, PDE4B, PLCG2, PLEK, PPP2CA, PSD3, PSME1, PTGER2, RAP1GAP, RIPK2, RNF19B, SLC24A1, SVIL, TFF3, TGFA, TMEM71, TNFAIP3, TRIB1, VAMP2, VIM, WNT4",30.05,10.07,1.7043380640622557e-104,103.76844425652084,6.179929820289739e-101
"BBIBP (V3, D14)","BNT-I-BNT (D51, hospital)",0.081,37,166,254,203,291,"A2M, ANXA1, B4GALT1, BAX, CCL20, CD164, CLEC4A, CTNNB1, DCAF12, FAU, FUT4, GIMAP2, HPRT1, IL1A, IL1B, IRF2BP2, KLF4, LAPTM5, LGALS3, LYZ, MS4A3, NFKBIA, NRBP1, PPP2CA, PSD3, PSME1, PTGER2, PTGER4, RIPK2, SCNN1B, SFXN3, SLC24A1, SLC31A2, TF, TFF3, TSPAN5, VIM",18.23,12.71,1.2030097865697448e-88,87.91973083962944,4.108278421135679e-85
"BBIBP (V3, D14)","ChAd (V1, D7)",0.085,56,147,456,203,512,"A2M, AIMP1, ANXA1, B4GALT1, C1QA, CCDC150, CCL20, CCL3, CD69, CD83, CSF1, CXCL2, DHX9, EPB42, EPS8, ESCO2, FCRL5, FRK, FUT4, GIMAP2, GPR82, HMGB2, IFIH1, IFNG, IL1B, IRF1, IRF2BP2, JUN, KCNMB3, KCNN3, KLF4, MARCKS, MCM7, MTHFD1, NFKBIA, NKAP, NRBP1, OSBPL10, PDE4B, PLCG2, PSMA1, PSME1, PTGER2, PTGER4, PTX3, RELA, SCNN1B, SFXN3, SLC24A1, SLC31A2, SNCA, SSC5D, TICAM1, TNFAIP3, TSHR, VIM",27.59,10.94,1.7712997013574633e-100,99.75170795059208,6.319997334443429e-97
"BBIBP (V3, D14)","ChAd (V2, D3)",0.054,19,184,146,203,165,"A2M, AIMP1, C1QA, CHRNB2, CRTC3, CSF1, F2, GIMAP2, GPR82, GZMB, HHIP, IFNG, ITGB8, MAFB, MTHFD1, NFKB2, NKAP, NLRP9, RAB3B",9.36,11.52,8.208122694967782e-78,77.08575616035249,2.6766688108289938e-74
"BBIBP (V3, D14)","ChAd (V2, D7)",0.105,70,133,463,203,533,"A2M, ADM, ARL4C, BCL2A1, BCL3, BCL6, BRD2, C1QA, C4BPB, CCL20, CCL3, CD83, CLNK, CNIH1, CNTNAP3, CRTC3, CSF1, CSRP2, CTNNB1, CXCL2, CXCL8, DCAF12, ESCO2, F2, FFAR2, FRK, G0S2, GATA3, GPR84, GZMB, HMGB2, ICAM1, IFNG, IL1B, IL1RL1, IRF1, ITGB8, JMJD6, KCNMB3, KLF4, MAFB, MARCKS, MS4A2, MS4A3, NAV1, NFKB2, NFKBIA, NFKBID, NINJ1, NLRP9, NR1H2, PDE4B, PLEK, PTGER4, PTX3, RAB3B, RAP1GAP, RARA, RELA, RGS1, RIPK2, RPS6, SGK1, SLC24A1, SLC31A2, TICAM1, TNFAIP3, TNFAIP6, TRIB1, TSHR",34.48,13.13,2.2861198561239147e-88,87.64090100426064,7.786524229958054e-85
"BBIBP (V3, D14)","ChAd-BNT (V2, D0)",0.109,57,146,319,203,376,"A2M, ADM, AIMP1, BCL2A1, BCL3, BCL6, BIRC2, CCL20, CCL3, CCR3, CD83, CNTNAP3, CRTC3, CSF1, CSRP2, CXCL2, CXCL8, F2, F2RL3, FFAR2, GLP2R, GPR84, GXYLT2, ICAM1, ICOS, IDO2, IFNG, IL1B, IL1RN, IL23A, IRF1, IRF2BP2, KIF5B, LAPTM5, MASP1, MPP1, MTHFD1, NCK1, NEDD4, NFKB2, NFKBIA, NFKBID, NLRP9, PBX1, PDE4B, PDGFRA, PLEK, PPP2CA, PTX3, RAP1GAP, RGS1, RHOH, SNCA, TNFAIP6, TRIM58, TSPAN5, UBE2N",28.08,15.16,1.5402654963759302e-82,81.81240441314212,5.119842509953592e-79
"BBIBP (V3, D14)","ChAd-BNT (V2, D3)",0.076,65,138,647,203,712,"A2M, ABCA6, ARL4C, B4GALT1, BIRC2, C1QA, CCDC150, CCR3, CD164, CD58, CD69, CNTNAP3, CSF1, CSRP2, CTNNB1, CXCL8, DCAF12, EREG, ESCO2, F2RL3, FUT4, GLP2R, GNG10, GPR183, GPR82, HLA-DMA, HPRT1, IFIH1, IFNG, IL1RN, IL23A, ITM2A, JMJD6, KLF4, LAPTM5, MARCKS, MTHFD1, NAV1, NEDD4, NFKB2, NLRP3, NLRP9, NRBP1, OSBPL10, PBX1, PDGFRA, PPP2CA, PTGER2, PTGER4, RAP1GAP, RGS1, RHOH, RPL13A, RPL39, RPS6, SFXN3, SLC31A2, SLCO2B1, SNCA, SOD1, TNFAIP3, TRIM58, TSHR, UBE2N, VAMP2",32.02,9.13,5.62921391057983e-109,108.2495522478011,2.0670473479649133e-105
