"","condition","genes"
"1","RVSV ZEBOV (D7)","CCL2"
"2","RVSV ZEBOV (D7)","IFIT1"
"3","RVSV ZEBOV (D7)","NFKB1"
"4","RVSV ZEBOV (D7)","NFKB2"
"5","LVS F TULARENSIS (H18)","B2M"
"6","LVS F TULARENSIS (H18)","CCL18"
"7","LVS F TULARENSIS (H18)","CCL20"
"8","LVS F TULARENSIS (H18)","CCR7"
"9","LVS F TULARENSIS (H18)","CD83"
"10","LVS F TULARENSIS (H18)","FCGR3A"
"11","LVS F TULARENSIS (H18)","IRAK1BP1"
"12","LVS F TULARENSIS (H18)","TAP2"
"13","LVS F TULARENSIS (H18)","TICAM1"
"14","LVS F TULARENSIS (H18)","CCR1"
"15","LVS F TULARENSIS (H18)","CCR2"
"16","LVS F TULARENSIS (H18)","CD1B"
"17","LVS F TULARENSIS (H18)","CD1C"
"18","LVS F TULARENSIS (H18)","CD1D"
"19","LVS F TULARENSIS (H18)","CD44"
"20","LVS F TULARENSIS (H18)","CD58"
"21","LVS F TULARENSIS (H18)","CD68"
"22","LVS F TULARENSIS (H18)","CD80"
"23","LVS F TULARENSIS (H18)","CD81"
"24","LVS F TULARENSIS (H18)","CD86"
"25","LVS F TULARENSIS (H18)","CDC42"
"26","LVS F TULARENSIS (H18)","FAS"
"27","LVS F TULARENSIS (H18)","FCER1A"
"28","LVS F TULARENSIS (H18)","FCER1G"
"29","LVS F TULARENSIS (H18)","FCGR1A"
"30","LVS F TULARENSIS (H18)","FCGR2A"
"31","LVS F TULARENSIS (H18)","FCGR2B"
"32","LVS F TULARENSIS (H18)","LILRB4"
"33","LVS F TULARENSIS (H18)","TAP1"
"34","LVS F TULARENSIS (H18)","TIRAP"
"35","LVS F TULARENSIS (H18)","TLR4"
"36","LVS F TULARENSIS (H192)","B2M"
"37","LVS F TULARENSIS (H192)","CCL18"
"38","LVS F TULARENSIS (H192)","CCL20"
"39","LVS F TULARENSIS (H192)","CCR1"
"40","LVS F TULARENSIS (H192)","CCR7"
"41","LVS F TULARENSIS (H192)","CD44"
"42","LVS F TULARENSIS (H192)","CD58"
"43","LVS F TULARENSIS (H192)","CD68"
"44","LVS F TULARENSIS (H192)","CD80"
"45","LVS F TULARENSIS (H192)","CD83"
"46","LVS F TULARENSIS (H192)","CDC42"
"47","LVS F TULARENSIS (H192)","FAS"
"48","LVS F TULARENSIS (H192)","FCER1A"
"49","LVS F TULARENSIS (H192)","FCER1G"
"50","LVS F TULARENSIS (H192)","FCGR2A"
"51","LVS F TULARENSIS (H192)","FCGR2B"
"52","LVS F TULARENSIS (H192)","FCGR3A"
"53","LVS F TULARENSIS (H192)","TAP2"
"54","LVS F TULARENSIS (H192)","TICAM1"
"55","LVS F TULARENSIS (H192)","CCR2"
"56","LVS F TULARENSIS (H192)","CD1B"
"57","LVS F TULARENSIS (H192)","CD1C"
"58","LVS F TULARENSIS (H192)","CD1D"
"59","LVS F TULARENSIS (H192)","CD81"
"60","LVS F TULARENSIS (H192)","CD86"
"61","LVS F TULARENSIS (H192)","FCGR1A"
"62","LVS F TULARENSIS (H192)","IRAK1BP1"
"63","LVS F TULARENSIS (H192)","LILRB4"
"64","LVS F TULARENSIS (H192)","TAP1"
"65","LVS F TULARENSIS (H192)","TIRAP"
"66","LVS F TULARENSIS (H192)","TLR4"
"67","LVS F TULARENSIS (H336)","B2M"
"68","LVS F TULARENSIS (H336)","CCL18"
"69","LVS F TULARENSIS (H336)","CCL20"
"70","LVS F TULARENSIS (H336)","CCR7"
"71","LVS F TULARENSIS (H336)","CD1B"
"72","LVS F TULARENSIS (H336)","CD44"
"73","LVS F TULARENSIS (H336)","CD58"
"74","LVS F TULARENSIS (H336)","CD68"
"75","LVS F TULARENSIS (H336)","CD80"
"76","LVS F TULARENSIS (H336)","CD81"
"77","LVS F TULARENSIS (H336)","CD83"
"78","LVS F TULARENSIS (H336)","FCGR2B"
"79","LVS F TULARENSIS (H336)","IRAK1BP1"
"80","LVS F TULARENSIS (H336)","TAP2"
"81","LVS F TULARENSIS (H336)","TICAM1"
"82","LVS F TULARENSIS (H336)","CCR1"
"83","LVS F TULARENSIS (H336)","CCR2"
"84","LVS F TULARENSIS (H336)","CD1C"
"85","LVS F TULARENSIS (H336)","CD1D"
