"source","target","value","type"
"MONOV INFLUENZA A (D1)","ADAMTS7",-1,"Directed"
"MONOV INFLUENZA A (D1)","ATG9B",-1,"Directed"
"MONOV INFLUENZA A (D1)","ATP13A4",-1,"Directed"
"MONOV INFLUENZA A (D1)","HEATR9",-1,"Directed"
"MONOV INFLUENZA A (D1)","CACNA1I",-1,"Directed"
"MONOV INFLUENZA A (D1)","CHD5",-1,"Directed"
"MONOV INFLUENZA A (D1)","COL5A1",-1,"Directed"
"MONOV INFLUENZA A (D1)","COL5A3",-1,"Directed"
"MONOV INFLUENZA A (D1)","CYP4F12",-1,"Directed"
"MONOV INFLUENZA A (D1)","DPEP3",-1,"Directed"
"MONOV INFLUENZA A (D1)","FXYD2",-1,"Directed"
"MONOV INFLUENZA A (D1)","GSDMA",-1,"Directed"
"MONOV INFLUENZA A (D1)","HSPG2",-1,"Directed"
"MONOV INFLUENZA A (D1)","MFGE8",-1,"Directed"
"MONOV INFLUENZA A (D1)","MMP15",-1,"Directed"
"MONOV INFLUENZA A (D1)","NDRG4",-1,"Directed"
"MONOV INFLUENZA A (D1)","NOG",-1,"Directed"
"MONOV INFLUENZA A (D1)","NRCAM",-1,"Directed"
"MONOV INFLUENZA A (D1)","SHANK1",-1,"Directed"
"MONOV INFLUENZA A (D1)","SPRY1",-1,"Directed"
"MONOV INFLUENZA A (D1)","SPRY2",-1,"Directed"
"MONOV INFLUENZA A (D1)","STYK1",-1,"Directed"
"MONOV INFLUENZA A (D1)","SYT17",-1,"Directed"
"MONOV INFLUENZA A (D1)","TNNC1",-1,"Directed"
"MONOV INFLUENZA A (D1)","TPBG",-1,"Directed"
"MONOV INFLUENZA A (D1)","TRIM74",-1,"Directed"
"MONOV INFLUENZA A (D1)","AANAT",1,"Directed"
"MONOV INFLUENZA A (D1)","ACP3",1,"Directed"
"MONOV INFLUENZA A (D1)","ACSL1",1,"Directed"
"MONOV INFLUENZA A (D1)","ACVRL1",1,"Directed"
"MONOV INFLUENZA A (D1)","ADAMTSL4",1,"Directed"
"MONOV INFLUENZA A (D1)","ADAP2",1,"Directed"
"MONOV INFLUENZA A (D1)","ADPRH",1,"Directed"
"MONOV INFLUENZA A (D1)","AK4",1,"Directed"
"MONOV INFLUENZA A (D1)","ALDH1A1",1,"Directed"
"MONOV INFLUENZA A (D1)","ANKRD34B",1,"Directed"
"MONOV INFLUENZA A (D1)","ANO5",1,"Directed"
"MONOV INFLUENZA A (D1)","APOL2",1,"Directed"
"MONOV INFLUENZA A (D1)","APOL3",1,"Directed"
"MONOV INFLUENZA A (D1)","APOL4",1,"Directed"
"MONOV INFLUENZA A (D1)","APOL6",1,"Directed"
"MONOV INFLUENZA A (D1)","AQP9",1,"Directed"
"MONOV INFLUENZA A (D1)","BMAL2",1,"Directed"
"MONOV INFLUENZA A (D1)","ASGR2",1,"Directed"
"MONOV INFLUENZA A (D1)","ATF3",1,"Directed"
"MONOV INFLUENZA A (D1)","ATF5",1,"Directed"
"MONOV INFLUENZA A (D1)","ATP6V1B2",1,"Directed"
"MONOV INFLUENZA A (D1)","BACH1",1,"Directed"
"MONOV INFLUENZA A (D1)","BCL2A1",1,"Directed"
"MONOV INFLUENZA A (D1)","BEST1",1,"Directed"
"MONOV INFLUENZA A (D1)","BLVRA",1,"Directed"
"MONOV INFLUENZA A (D1)","CARD16",1,"Directed"
"MONOV INFLUENZA A (D1)","CARD17P",1,"Directed"
"MONOV INFLUENZA A (D1)","CASP5",1,"Directed"
"MONOV INFLUENZA A (D1)","CASP7",1,"Directed"
"MONOV INFLUENZA A (D1)","CD36",1,"Directed"
"MONOV INFLUENZA A (D1)","CDHR5",1,"Directed"
"MONOV INFLUENZA A (D1)","CDKN1A",1,"Directed"
"MONOV INFLUENZA A (D1)","CES1",1,"Directed"
"MONOV INFLUENZA A (D1)","CHST15",1,"Directed"
"MONOV INFLUENZA A (D1)","CMPK2",1,"Directed"
"MONOV INFLUENZA A (D1)","CREB5",1,"Directed"
"MONOV INFLUENZA A (D1)","CRISPLD2",1,"Directed"
"MONOV INFLUENZA A (D1)","CTSB",1,"Directed"
"MONOV INFLUENZA A (D1)","CYP1B1",1,"Directed"
"MONOV INFLUENZA A (D1)","CYP27A1",1,"Directed"
"MONOV INFLUENZA A (D1)","DDO",1,"Directed"
"MONOV INFLUENZA A (D1)","DHRS9",1,"Directed"
"MONOV INFLUENZA A (D1)","DOCK4",1,"Directed"
"MONOV INFLUENZA A (D1)","DPYD",1,"Directed"
"MONOV INFLUENZA A (D1)","DRAM1",1,"Directed"
"MONOV INFLUENZA A (D1)","DSC2",1,"Directed"
"MONOV INFLUENZA A (D1)","DSE",1,"Directed"
"MONOV INFLUENZA A (D1)","DUSP1",1,"Directed"
"MONOV INFLUENZA A (D1)","DUSP3",1,"Directed"
"MONOV INFLUENZA A (D1)","DUSP6",1,"Directed"
"MONOV INFLUENZA A (D1)","EGR2",1,"Directed"
"MONOV INFLUENZA A (D1)","EGR3",1,"Directed"
"MONOV INFLUENZA A (D1)","EMILIN2",1,"Directed"
"MONOV INFLUENZA A (D1)","EPB41L3",1,"Directed"
"MONOV INFLUENZA A (D1)","ETV7",1,"Directed"
"MONOV INFLUENZA A (D1)","EXOC3L1",1,"Directed"
"MONOV INFLUENZA A (D1)","FAM20A",1,"Directed"
"MONOV INFLUENZA A (D1)","FAM20C",1,"Directed"
"MONOV INFLUENZA A (D1)","CALHM6",1,"Directed"
"MONOV INFLUENZA A (D1)","FBXO6",1,"Directed"
"MONOV INFLUENZA A (D1)","FGD4",1,"Directed"
"MONOV INFLUENZA A (D1)","FOS",1,"Directed"
"MONOV INFLUENZA A (D1)","FRMD3",1,"Directed"
"MONOV INFLUENZA A (D1)","GBP3",1,"Directed"
"MONOV INFLUENZA A (D1)","GCA",1,"Directed"
"MONOV INFLUENZA A (D1)","GLUL",1,"Directed"
"MONOV INFLUENZA A (D1)","GM2A",1,"Directed"
"MONOV INFLUENZA A (D1)","GNB4",1,"Directed"
"MONOV INFLUENZA A (D1)","GNG10",1,"Directed"
"MONOV INFLUENZA A (D1)","GPBAR1",1,"Directed"
"MONOV INFLUENZA A (D1)","HCAR2",1,"Directed"
"MONOV INFLUENZA A (D1)","GPR84",1,"Directed"
"MONOV INFLUENZA A (D1)","GPRC5C",1,"Directed"
"MONOV INFLUENZA A (D1)","GRINA",1,"Directed"
"MONOV INFLUENZA A (D1)","HBEGF",1,"Directed"
"MONOV INFLUENZA A (D1)","HORMAD1",1,"Directed"
"MONOV INFLUENZA A (D1)","HSPA6",1,"Directed"
"MONOV INFLUENZA A (D1)","HSPA7",1,"Directed"
"MONOV INFLUENZA A (D1)","IGF2BP3",1,"Directed"
"MONOV INFLUENZA A (D1)","KCNJ15",1,"Directed"
"MONOV INFLUENZA A (D1)","KCNJ2",1,"Directed"
"MONOV INFLUENZA A (D1)","KCTD12",1,"Directed"
"MONOV INFLUENZA A (D1)","SHTN1",1,"Directed"
"MONOV INFLUENZA A (D1)","KLF4",1,"Directed"
"MONOV INFLUENZA A (D1)","KREMEN1",1,"Directed"
"MONOV INFLUENZA A (D1)","LACTB",1,"Directed"
"MONOV INFLUENZA A (D1)","LAP3",1,"Directed"
"MONOV INFLUENZA A (D1)","LHFPL2",1,"Directed"
